"TOA5","Droughtbox","CR3000","11237","CR3000.Std.30.01","CPU:droughtboxV6.CR3","53965","droughtbox"
"TIMESTAMP","RECORD","BattV_Min","AirTC_Avg","RH_Avg","TC_Avg","TSg_Avg(1)","TSg_Avg(2)","TSg_Avg(3)","TSg_Avg(4)","DutyCycle_Avg","SetPointT_Avg","SetPointVPD_Avg","SetPointAbsH_Avg","VPD_Avg","AbsH_Avg","SetPointRH_Avg","I_Avg","P_output_Avg","I_output_Avg","D_output_Avg","Strain_Avg(1)","Strain_Avg(2)","Strain_Avg(3)","Strain_Avg(4)","Vr1000_Avg(1)","Vr1000_Avg(2)","Vr1000_Avg(3)","Vr1000_Avg(4)","TareCount"
"TS","RN","Volts","Deg C","%","Deg C","","","","","","","","","kPa","g/m3","","","","","","microstrain","microstrain","microstrain","microstrain","mV/V","mV/V","mV/V","mV/V",""
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"2024-03-04 12:51:00",1648,13.84,26.76,44.05,27.19,23.32,23.38,23.52,23.36,0,25,1.6,11.39,1.967,11.19,49.48,0,-0.296,0,0.001,2.472753,2.434764,2.381188,2.310796,0.005057652,0.06213687,-0.01737413,-0.01322383,13
"2024-03-04 12:51:30",1651,13.78,26.8,43.63,27.25,23.31,23.39,23.52,23.42,0,25,1.6,11.39,1.986,11.1,49.48,0,-0.3,0,0,2.489199,2.451971,2.349167,2.310783,0.005040844,0.06212001,-0.01734051,-0.01322381,13
"2024-03-04 12:52:20",1656,13.77,26.83,43.36,27.29,23.3,23.37,23.51,23.35,0,25,1.6,11.39,1.999,11.05,49.48,0,-0.303,0,0.001,2.505648,2.417776,2.333139,2.327533,0.005024034,0.06215351,-0.01732367,-0.0132406,13
"2024-03-04 12:52:20",1656,13.77,26.83,43.36,27.29,23.3,23.37,23.51,23.35,0,25,1.6,11.39,1.999,11.05,49.48,0,-0.303,0,0.001,2.505648,2.417776,2.333139,2.327533,0.005024034,0.06215351,-0.01732367,-0.0132406,13
"2024-03-04 13:01:10",1709,13.76,27.22,39.73,27.79,23.22,23.32,23.5,23.29,0,25,1.6,11.39,2.177,10.35,49.48,0,-0.334,0,0.001,2.485881,2.410692,2.406784,2.287311,0.00510802,0.06252284,-0.01728998,-0.01347576,14
"2024-03-04 13:01:10",1709,13.76,27.22,39.73,27.79,23.22,23.32,23.5,23.29,0,25,1.6,11.39,2.177,10.35,49.48,0,-0.334,0,0.001,2.485881,2.410692,2.406784,2.287311,0.00510802,0.06252284,-0.01728998,-0.01347576,14
"2024-03-04 13:03:50",1725,13.77,27.31,38.69,28.01,23.18,23.31,23.49,23.32,0,25,1.6,11.39,2.226,10.13,49.48,0,-0.347,0,0.003,2.485883,2.324996,2.342765,2.404688,0.005108017,0.06260682,-0.01722276,-0.01359338,14
"2024-03-04 13:05:30",1735,13.81,27.39,38.11,28.12,23.15,23.31,23.49,23.28,0,25,1.6,11.39,2.257,10.02,49.48,0,-0.353,0,0.002,2.485863,2.307597,2.342831,2.438281,0.005108038,0.06262387,-0.01722283,-0.01362704,14
"2024-03-04 13:08:10",1751,13.81,27.53,37.02,28.2,23.15,23.28,23.47,23.3,0,25,1.6,11.39,2.316,9.81,49.48,0,-0.358,0,-0.001,2.485857,2.204646,2.310845,2.488605,0.005108044,0.06272476,-0.01718924,-0.01367746,14
"2024-03-04 13:09:50",1761,13.83,27.62,36.38,28.26,23.11,23.25,23.46,23.26,0,25,1.6,11.39,2.352,9.69,49.48,0,-0.361,0,0.001,2.485868,2.084756,2.310811,2.488577,0.005108033,0.06284226,-0.0171892,-0.01367743,14
"2024-03-04 13:10:40",1766,13.76,27.66,35.75,28.3,23.12,23.27,23.44,23.28,0,25,1.6,11.39,2.381,9.54,49.48,0,-0.363,0,0.001,2.443138,2.465538,2.365185,2.240364,0.005158438,0.06285901,-0.01718919,-0.01371103,15
